change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Ftripleo-ci~master~Ib56dba872a5cf9a40ad652be1dc9fbd801a57282,475197,https://review.opendev.org/475197,tripleo-ci,03:15.0,01:10.0,MERGED,Add script parsing status multinode periodic jobs,Add script parsing status multinode periodic jobs,3,8,160,0,2,2,25,49,209.9652778,"['scripts/mirror-server/mirror-server.pp', 'scripts/mirror-server/multinode_status.py']",TRUE,[]
openstack%2Ffreezer-api~master~Id9c4e6e1318c0e930d2258bcdc8101a56adce248,477924,https://review.opendev.org/477924,freezer-api,09:30.0,01:00.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,2,2,1,0,7,32,1.858333333,['test-requirements.txt'],FALSE,[]
openstack%2Fproject-config~master~I51424a9911043dbce6d9a716785f272bd7a8f6d0,477896,https://review.opendev.org/477896,project-config,23:08.0,00:09.0,MERGED,Enabling a new experimental check with Tempest,Enabling a new experimental check with Tempest,6,3,68,0,2,0,15,46,2.616944444,"['jenkins/jobs/networking-l2gw.yaml', 'zuul/layout.yaml']",FALSE,[]
openstack%2Fvirtualbmc~master~Ide4cc4f322fd2dbac381236c67fbf25204fa7401,478121,https://review.opendev.org/478121,virtualbmc,24:58.0,59:33.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,1.576388889,['test-requirements.txt'],FALSE,[]
openstack%2Fpython-tripleoclient~master~Ie6f8012ecca66dc8a563026304188850ed9c9378,477710,https://review.opendev.org/477710,python-tripleoclient,37:04.0,59:27.0,MERGED,"Undercloud install, find the right server resource","Undercloud install, find the right server resource",2,5,3,1,1,0,16,50,14.37305556,['tripleoclient/v1/undercloud_deploy.py'],FALSE,[]
openstack%2Fopenstack-ansible-tests~master~I97a5708b6897402f21ee87d5d637f7949059fd49,477706,https://review.opendev.org/477706,openstack-ansible-tests,17:27.0,51:34.0,MERGED,gen-projects-list.sh: Add ability to include extra OSA projects,gen-projects-list.sh: Add ability to include extra OSA projects,1,3,18,0,1,0,9,63,14.56861111,['gen-projects-list.sh'],FALSE,[]
openstack%2Fmurano-dashboard~master~Ie8967f3bbfae6f9fd0a8866b53dd7423fe83e796,477785,https://review.opendev.org/477785,murano-dashboard,06:33.0,47:58.0,MERGED,Imported Translations from Zanata,Imported Translations from Zanata,1,3,29,5,2,0,7,33,6.690277778,"['muranodashboard/locale/de/LC_MESSAGES/django.po', 'releasenotes/source/locale/de/LC_MESSAGES/releasenotes.po']",FALSE,[]
openstack%2Fopenstack-ansible-os_octavia~master~If4679aee0a0d94956906ac7ee44bc12c64cbc63a,478017,https://review.opendev.org/478017,openstack-ansible-os_octavia,18:30.0,45:51.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,2,2,1,0,7,32,1.455833333,['test-requirements.txt'],FALSE,[]
openstack%2Fhorizon~master~I537d51f40f7f09a592a49cb7ef586c1db7bea291,477090,https://review.opendev.org/477090,horizon,14:22.0,40:23.0,MERGED,Imported Translations from Zanata,Imported Translations from Zanata,4,2,193,9,1,0,12,33,74.43361111,['releasenotes/source/locale/pt_BR/LC_MESSAGES/releasenotes.po'],FALSE,[]
openstack%2Fmonasca-log-api~master~I36e3c2f1ea5788ecb19089089d84924b7d6666bf,476102,https://review.opendev.org/476102,monasca-log-api,56:42.0,39:12.0,MERGED,Ensure and verify utf-8 support,[WIP] unicode test cases,13,7,301,85,5,0,25,24,145.7083333,"['monasca_log_api/reference/common/log_publisher.py', 'monasca_log_api/tests/base.py', 'monasca_log_api/tests/test_log_publisher.py', 'monasca_log_api/tests/test_logs_v3.py', 'monasca_log_api_tempest/tests/log_api/test_unicode.py']",FALSE,[]
openstack%2Fproject-config~master~I469887ce84263d4ee9269949bc1270b09cbea4fd,477889,https://review.opendev.org/477889,project-config,06:13.0,36:44.0,MERGED,Explicitly enable tempest service,Explicitly enable tempest service,1,7,2,0,1,0,10,33,2.508611111,['jenkins/jobs/kuryr.yaml'],FALSE,[]
openstack%2Ftosca-parser~master~Iad765612c2c8f556fa56cef98172e90206987214,478116,https://review.opendev.org/478116,tosca-parser,24:30.0,36:37.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,1.201944444,['test-requirements.txt'],FALSE,[]
openstack%2Fpython-freezerclient~master~I41e5b6dd451354df06450dd038bdb852c55aa512,477831,https://review.opendev.org/477831,python-freezerclient,47:51.0,36:02.0,MERGED,Enable some off-by-default checks,Enable some off-by-default checks,1,4,3,0,1,0,8,33,4.803055556,['tox.ini'],FALSE,[]
openstack%2Fpython-freezerclient~master~I3caa8e581058faa536121dce15114bee1960d0bb,478072,https://review.opendev.org/478072,python-freezerclient,21:17.0,35:56.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,1,1,1,0,7,32,1.244166667,['test-requirements.txt'],FALSE,[]
openstack%2Fopenstack-helm-addons~master~I5ed84afb28bd394d4c307a9fc12377f194cb76c0,477670,https://review.opendev.org/477670,openstack-helm-addons,30:56.0,35:48.0,MERGED,Add helm-toolkit back to openstack-helm-addons,Add helm-toolkit back to openstack-helm-addons,1,3,1385,1,36,0,7,46,17.08111111,"['Makefile', 'helm-toolkit/.gitignore', 'helm-toolkit/.helmignore', 'helm-toolkit/Chart.yaml', 'helm-toolkit/Makefile', 'helm-toolkit/requirements.yaml', 'helm-toolkit/secrets/.gitkeep', 'helm-toolkit/templates/endpoints/_authenticated_endpoint_uri_lookup.tpl', 'helm-toolkit/templates/endpoints/_hostname_endpoint_lookup.tpl', 'helm-toolkit/templates/endpoints/_hostname_endpoint_uri_lookup.tpl', 'helm-toolkit/templates/endpoints/_keystone_endpoint_name_lookup.tpl', 'helm-toolkit/templates/endpoints/_keystone_endpoint_uri_lookup.tpl', 'helm-toolkit/templates/scripts/_db-init.py.tpl', 'helm-toolkit/templates/scripts/_ks-domain-user.sh.tpl', 'helm-toolkit/templates/scripts/_ks-endpoints.sh.tpl', 'helm-toolkit/templates/scripts/_ks-service.sh.tpl', 'helm-toolkit/templates/scripts/_ks-user.sh.tpl', 'helm-toolkit/templates/scripts/_rally_test.sh.tpl', 'helm-toolkit/templates/snippets/_k8s_init_dep_check.tpl', 'helm-toolkit/templates/snippets/_ks_env_openrc.tpl', 'helm-toolkit/templates/snippets/_ks_env_user_create_openrc.tpl', 'helm-toolkit/templates/utils/_comma_joined_hostname_list.tpl', 'helm-toolkit/templates/utils/_hash.tpl', 'helm-toolkit/templates/utils/_joinListWithComma.tpl', 'helm-toolkit/templates/utils/_template.tpl', 'helm-toolkit/templates/utils/_to_ini.tpl', 'helm-toolkit/utils/secret-generator/README.rst', 'helm-toolkit/utils/secret-generator/ceph-key.py', 'helm-toolkit/utils/secret-generator/generate_secrets.sh', 'helm-toolkit/utils/secret-generator/templates/ceph/admin.keyring.tmpl', 'helm-toolkit/utils/secret-generator/templates/ceph/bootstrap.keyring.tmpl', 'helm-toolkit/utils/secret-generator/templates/ceph/ceph.conf.tmpl', 'helm-toolkit/utils/secret-generator/templates/ceph/mon.keyring.tmpl', 'helm-toolkit/utils/test/ceph-rbd-test.yaml', 'helm-toolkit/values.yaml', 'tools/gate/funcs/helm.sh']",FALSE,[]
openstack%2Fnetworking-bgpvpn~master~Id23127fd62549b42615f25e4e299cd151c5c834c,477970,https://review.opendev.org/477970,networking-bgpvpn,13:41.0,35:13.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,1.358888889,['test-requirements.txt'],FALSE,[]
openstack%2Fheat-translator~master~I52d2d6000dab76a3ab926f1a9831cd218e99b217,477931,https://review.opendev.org/477931,heat-translator,10:09.0,35:05.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,1.415555556,['test-requirements.txt'],FALSE,[]
openstack%2Fpython-tripleoclient~master~I45e8103826fdee76a8ec40aebd95cb5551cc5fed,468390,https://review.opendev.org/468390,python-tripleoclient,00:53.0,25:45.0,MERGED,Optional override of the plan environment file,WIP: Optional override of the plan environment file,10,9,248,8,5,2,53,51,769.4144444,"['override-plan-env-e3df45a51bda717e.yaml', 'tripleoclient/constants.py', 'tripleoclient/tests/workflows/test_plan_management.py', 'tripleoclient/v1/overcloud_deploy.py', 'tripleoclient/workflows/plan_management.py']",FALSE,[]
openstack%2Fsenlin-dashboard~master~I8c6f5c1f8b8dd837c03bc6cb5dca98ccaf2f4a11,478106,https://review.opendev.org/478106,senlin-dashboard,23:36.0,25:38.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,1.033888889,['test-requirements.txt'],FALSE,[]
openstack%2Fpython-senlinclient~master~Ib6df44ac3c151f7ec9980385dca4036f6dd15a0e,478091,https://review.opendev.org/478091,python-senlinclient,22:36.0,25:32.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,1,1,1,0,8,32,1.048888889,['test-requirements.txt'],FALSE,[]
openstack%2Fopenstacksdk~master~Ie558b341237a1e095d14dc275fe0569e4b6a6e78,478087,https://review.opendev.org/478087,openstacksdk,22:24.0,24:27.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,2,2,1,0,7,32,1.034166667,['test-requirements.txt'],FALSE,[]
openstack%2Fkolla-ansible~master~I5744784afc13f2ee884c8dca2b32c982ebebc542,477601,https://review.opendev.org/477601,kolla-ansible,01:36.0,24:19.0,MERGED,Add sanity checks for Barbican,Add sanity checks for Barbican,1,4,33,0,2,4,10,30,21.37861111,"['ansible/group_vars/all.yml', 'ansible/roles/barbican/tasks/check.yml']",FALSE,['ansible/roles/barbican/tasks/check.yml']
openstack%2Ftripleo-quickstart~master~I3b70cb2c068495f861f01052ae6dd68e2662daea,464029,https://review.opendev.org/464029,tripleo-quickstart,37:16.0,14:56.0,MERGED,"Fact caching - remove trailing slash, descriptive name",Remove trailing slash from fact caching directory,4,12,1,1,1,9,40,49,1125.627778,['ansible.cfg'],FALSE,[]
openstack%2Fcookbook-openstack-orchestration~master~Ic929a5bd9e6ec5466f1118ccb631c36f4e408443,470078,https://review.opendev.org/470078,cookbook-openstack-orchestration,36:43.0,04:45.0,MERGED,Optimize the link address,Optimize the link address,1,3,8,8,3,0,13,25,611.4672222,"['CONTRIBUTING.md', 'README.md', 'TESTING.md']",FALSE,[]
openstack%2Fironic~master~I4f7259c8c13c9080d649731311f9bb8f4bdf1d99,345081,https://review.opendev.org/345081,ironic,35:22.0,00:46.0,MERGED,Add docs for node.resource_class and flavor creation,Add docs for node.resource_class and flavor creation,10,19,109,18,1,67,78,52,8198.423333,['doc/source/deploy/install-guide.rst'],FALSE,[]
